stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\repo\Westeros\Flute\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.09102] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09114] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09123] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09131] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09139] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09149] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09158] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09169] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09183] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09190] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09202] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09210] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09217] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09226] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09240] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09249] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09259] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09267] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09274] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09282] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.09288] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.09294] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1677 d3d_create_display_internals     [   0.09302] Trying format 0.
d3d      I         d3d_disp.cpp:1353 d3d_display_thread_proc          [   0.09754] Chose a display format: 23
d3d      I         d3d_disp.cpp:1422 d3d_display_thread_proc          [   0.09768] Normal window.
d3d      I         d3d_disp.cpp:786  d3d_create_device                [   0.14167] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:848  d3d_create_device                [   0.18837] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:856  d3d_create_device                [   0.18852] Success
d3d      D         d3d_disp.cpp:1703 d3d_create_display_internals     [   0.18864] Resumed after wait.
d3d      I         d3d_disp.cpp:1736 d3d_create_display_internals     [   0.18873] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1767 d3d_create_display_internals     [   0.18883] Returning d3d_display: 000001E9FEFB7910
d3d      D         d3d_disp.cpp:1792 d3d_create_display_locked        [   0.18891] al_display=000001E9FEFB7910
d3d      D         d3d_disp.cpp:1793 d3d_create_display_locked        [   0.18901] al_display->vt=000001E9FD567D80
system   D            wsystem.c:834  maybe_parent_dir                 [   0.18933] Also searching C:\repo\Westeros\Flute\x64\
system   D            wsystem.c:889  _al_win_safe_load_library        [   0.18962] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:795  load_library_at_path             [   0.19517] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:798  load_library_at_path             [   0.19831] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.19873] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.19897] added dtor for queue 000001E9FD5A19B0, func 00007FFF1D681C30
